Emiten_Code,URL,Directors,Commissioners,No,Kode Saham,Nama Perusahaan,Secretary,Email Address,Phone Number,Director,Comissioners,Audit Committee,Shareholders,Subsidiary,Public Accountant,Total Subsidiary
ADHI,https://www.idx.co.id/en/listed-companies/company-profiles/ADHI,"['NAME | POSITION | AFFILIATED', ' MOEHARMEIN Z. C | PRESIDENT DIRECTOR | NO', ' KI SYAHGOLANG PERMATA | DIRECTOR | NO', ' BANI IQBAL | DIRECTOR | NO', ' A. SUKO WIDIGDO | DIRECTOR | NO', ' HARIMAWAN | DIRECTOR | NO', ' VERA KIRANA | DIRECTOR | NO', ' YAN ARIANTO | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' DODY USODO HARGO | PRESIDENT COMMISIONER | NO', ' ELAN SUHERLAN | COMMISSIONER | YES', ' R. ERWIN MOESLIMIN SINGAJURU | COMMISSIONER | YES', ' BOB ARTHUR LOMBOGIA | COMMISSIONER | NO', ' RUSTAM SOFYAN SIRAIT | COMMISSIONER | YES', ' AMELIA TETRIANA | COMMISSIONER | NO']",11,ADHI,Adhi Karya (Persero) Tbk.,Rozi Sparta,rozi.sparta@adhi.co.id,021-7975312,C PRESIDENT DIRECTOR NoKi Syahgolang Permata DIRECTOR NoBani Iqbal - DIRECTOR - No | Suko Widigdo DIRECTOR NoHarimawan DIRECTOR NoVera Kirana DIRECTOR NoYan Arianto - DIRECTOR - No,Comissioners Name Position Independent Dody Usodo Hargo PRESIDENT COMMISIONER NoElan Suherlan - COMMISSIONER - Yes | Erwin Moeslimin Singajuru COMMISSIONER YesBob Arthur Lombogia COMMISSIONER NoRustam Sofyan Sirait COMMISSIONER YesAmelia Tetriana - COMMISSIONER - No,"['RUSTAM SOFYAN SIRAIT - HEAD ', ' MARDIANNUS PRAMUDYA - MEMBER ', ' ANDI NUGROHO SURYO KUNCORO - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE NEGARA REPUBLIK INDONESIA - MORE THAN 5% - 1 - 0% ', ' NEGARA REPUBLIK INDONESIA - MORE THAN 5% - 54,087,737 - 0.64% ', ' PT DANANTARA ASSET MANAGEMENT (PERSERO) - MORE THAN 5% - 5,354,686,054 - 63.69% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 0 - 0% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 10,000 - 0% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 2,994,978,787 - 35.62%']",[''],,0
ADMF,https://www.idx.co.id/en/listed-companies/company-profiles/ADMF,"['NAME | POSITION | AFFILIATED', ' I DEWA MADE SUSILA | PRESIDENT DIRECTOR | NO', ' SWANDAJANI GUNADI | DIRECTOR | NO', ' NIKO KURNIAWAN BONGGOWARSITO | DIRECTOR | NO', ' DENNY RIZA FARIB | DIRECTOR | NO', ' SIGIT HENDRA GUNAWAN | DIRECTOR | NO', ' SYLVANUS GANI K. MENDROFA | DIRECTOR | NO', ' RICKY GUNAWAN | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' DAISUKE EJIMA | PRESIDENT COMMISIONER | NO', ' KRISNA WIJAYA | COMMISSIONER | YES', ' MANGGI TARUNA HABIR | COMMISSIONER | YES', ' CONGSIN CONGCAR | COMMISSIONER | NO', ' HONGGO WIDJOJO KANGMASTO | COMMISSIONER | NO']",12,ADMF,Adira Dinamika Multi Finance Tbk.,Veronika Dyah Puspitaningrum,af.corsec@adira.co.id,021-39733232,Director Name Position Affiliated I Dewa Made Susila PRESIDENT DIRECTOR NoSwandajani Gunadi DIRECTOR NoNiko Kurniawan Bonggowarsito DIRECTOR NoDenny Riza Farib DIRECTOR NoSigit Hendra Gunawan - DIRECTOR - No | Mendrofa - DIRECTOR - No,,[''],[''],[''],,0
ADMG,https://www.idx.co.id/en/listed-companies/company-profiles/ADMG,"['NAME | POSITION | AFFILIATED', ' GAUTAMA HARTARTO, MA | PRESIDENT DIRECTOR | NO', ' DJALI HALIM | VICE PRESIDEN DIRECTOR | NO', ' GUNAWAN HALIM | DIRECTOR | NO', ' DJUNALI DJUWATI | DIRECTOR | NO', ' WIJI SANTOSO | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' BACELIUS RURU, SH | PRESIDENT COMMISIONER | YES', ' H. ROSIHAN ARSYAD | VICE PRESIDENT COMMISIONER | NO', ' JOHAN SETIAWAN | COMMISSIONER | NO', ' BAMBANG HUSODO | COMMISSIONER | YES', ' ILHAM | COMMISSIONER | YES']",13,ADMG,Polychem Indonesia Tbk,,,,,,[''],[''],"['PT SENTRA SINTETIKAJAYA | TIDAK AKTIF | 1,947,107 | 99', 'PT SENTRA SINTETIKAJAYA | TIDAK AKTIF | 1,888,587 | 99', 'PT SENTRA SINTETIKAJAYA | TIDAK AKTIF | 1,867,358 | 99', 'PT SENTRA SINTETIKAJAYA | TIDAK AKTIF | 1,888,587 | 99', 'PT SENTRA SINTETIKAJAYA | TIDAK AKTIF | 1,726,536 | 99', 'PT SENTRA SINTETIKAJAYA | TIDAK AKTIF | 1,869,718 | 99']",,6
ADMR,https://www.idx.co.id/en/listed-companies/company-profiles/ADMR,"['NAME | POSITION | AFFILIATED', ' IWAN DEWONO BUDIYUWONO | PRESIDENT DIRECTOR | NO', ' TOTOK AZHARIYANTO | DIRECTOR | NO', ' HENDRI TAMRIN | DIRECTOR | NO', ' HERI GUNAWAN | DIRECTOR | NO', ' WITO KRISNAHADI | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' GARIBALDI THOHIR | PRESIDENT COMMISIONER | NO', ' MICHAEL WILLIAM P. SOERYADJAYA | COMMISSIONER | NO', ' MOHAMMAD SYAH INDRA AMAN | COMMISSIONER | NO', ' MOHAMMAD EFFENDI | COMMISSIONER | YES', ' LINDAWATI GANI | COMMISSIONER | YES']",14,ADMR,Alamtri Minerals Indonesia Tbk.,Mahardika Putranto,corsec@adarominerals.id,(021) 2553 3060,Director Name Position Affiliated Iwan Dewono Budiyuwono PRESIDENT DIRECTOR NoTotok Azhariyanto DIRECTOR NoHendri Tamrin DIRECTOR NoHeri Gunawan DIRECTOR NoWito Krisnahadi - DIRECTOR - No,Comissioners Name Position Independent Garibaldi Thohir - PRESIDENT COMMISIONER - No | Soeryadjaya COMMISSIONER NoMohammad Syah Indra Aman COMMISSIONER NoMohammad Effendi COMMISSIONER YesLindawati Gani - COMMISSIONER - Yes,"['MOHAMMAD EFFENDI - HEAD ', ' IGNATIUS ROBBY SANI - MEMBER ', ' LINDAWATI GANI - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE PT ALAMTRI RESOURCES INDONESIA TBK - MORE THAN 5% - 34,756,541,100 - 85.016% ', ' WITO KRISNAHADI - DIRECTOR - 69,000 - 0% ', ' AFILIASI PENGENDALI - MORE THAN 5% - 1,231,511,486 - 3.012% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 0 - 0% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 0 - 0% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 4,894,209,914 - 11.972%']","['PT ALAM TRI CAKRA INDONESIA | INVESTASI | 31,961,553 | 90.84', 'PT ALAM TRI DAYA INDONESIA | INVESTASI | 1,285,826,090 | 99.99', 'PT ALAMTRI BATERAI INDONESIA | INVESTASI | 1,293,812,284 | 99.99', 'PT ALAMTRI INDO ALUMINIUM | INVESTASI | 1,292,574,344 | 100', 'PT BATUAN ANUGERAH SEMESTA | PERTAMBANGAN | 4,261,934 | 100', 'PT BUMI ALAM SERAYA | PERTAMBANGAN BATU KAPUR | 3,872,337 | 100', 'PT JULOI COAL | PERTAMBANGAN | 26,661,145 | 99.99', 'PT KALIMANTAN ALUMINIUM INDUSTRY | PENGOLAHAN LOGAM | 1,254,681,495 | 65', 'PT KALTENG COAL | PERTAMBANGAN | 1,882,699 | 99.99', 'PT LAHAI COAL | PERTAMBANGAN | 112,431,814 | 99.99']","TANUDIREDJA, WIBISANA, RINTIS & REKAN",12
ADRO,https://www.idx.co.id/en/listed-companies/company-profiles/ADRO,"['NAME | POSITION | AFFILIATED', ' MOHAMMAD SYAH INDRA AMAN | DIRECTOR | NO', ' IWAN DEWONO BUDIYUWONO | PRESIDENT DIRECTOR | NO', ' LANY DJUWITA WONG | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' EDWIN SOERYADJAYA | PRESIDENT COMMISIONER | NO', ' ARINI SARASWATY SUBIANTO | COMMISSIONER | NO', ' MOHAMMAD EFFENDI | COMMISSIONER | YES', ' BUDI BOWOLEKSONO | COMMISSIONER | YES', ' GARIBALDI THOHIR | VICE PRESIDENT COMMISIONER | NO', ' CHRISTIAN ARIANO RACHMAT | COMMISSIONER | NO']",15,ADRO,Alamtri Resources Indonesia Tbk.,Maharani Cindy Opssedha,maharani.opssedha@alamtri.com,(021) 25533000,Director Name Position Affiliated Mohammad Syah Indra Aman DIRECTOR NoIwan Dewono Budiyuwono PRESIDENT DIRECTOR NoLany Djuwita Wong - DIRECTOR - No,Comissioners Name Position Independent Edwin Soeryadjaya PRESIDENT COMMISIONER NoArini Saraswaty Subianto COMMISSIONER NoMohammad Effendi COMMISSIONER YesBudi Bowoleksono COMMISSIONER YesGaribaldi Thohir VICE PRESIDENT COMMISIONER NoChristian Ariano Rachmat - COMMISSIONER - No,[''],"['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE CHRISTIAN ARIANO RACHMAT - COMMISIONER - 16,000,000 - 0.054% ', ' LANY DJUWITA - DIRECTOR - 250,000 - 0.001% ', ' IWAN DEWONO BUDIYUWONO - DIRECTOR - 2,800 - 0% ', ' PT ADARO STRATEGIC INVESTMENT - MORE THAN 5% - 14,045,425,500 - 47.79% ', ' PIHAK AFILASI - MORE THAN 5% - 3,203,634,613 - 10.901% ', ' GARIBALDI THOHIR - COMMISIONER - 1,976,632,710 - 6.726% ', ' EDWIN SOERYADJAJA - COMMISIONER - 1,051,738,544 - 3.579% ', ' ARINI SARASWATY SUBIANTO - COMMISIONER - 80,106,250 - 0.273% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 589,195,200 - 2.004% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 0 - 0% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 8,426,703,783 - 28.672%']","['ADARO SOLAR INTERNATIONAL PTE. LTD. | TRANSMISI, DISTRIBUSI DAN PENJUALAN TENAGA LISTRIK | 461 | 100', 'INDONESIA SOLAR ENERGY CORRIDOR PTE. LTD. | TRANSMISI, DISTRIBUSI DAN PENJUALAN TENAGA LISTRIK | 0 | 100', 'PT ALAM TRI BANGUN INDONESIA | INVESTASI | 177,992 | 100', 'PT ALAM TRI CAKRA INDONESIA | INVESTASI | 31,962 | 86', 'PT ALAM TRI DAYA INDONESIA | INVESTASI | 1,285,826 | 84', 'PT ALAMTRI BATERAI INDONESIA | INVESTASI | 1,293,812 | 84', 'PT ALAMTRI INDO ALUMINIUM | INVESTASI | 1,292,574 | 84', 'PT ALAMTRI MINERALS INDONESIA TBK | JASA PERTAMBANGAN | 2,650,759 | 84', 'PT ALAMTRI POWER INDONESIA | INVESTASI | 900,125 | 87', 'PT ALAMTRI RENEWABLES INDONESIA | INVESTASI | 139,952 | 100']",,40
AEGS,https://www.idx.co.id/en/listed-companies/company-profiles/AEGS,"['NAME | POSITION | AFFILIATED', ' OEY JOHAN SINATRA SUMAWI | PRESIDENT DIRECTOR | NO', ' JEIHAN SUMAWI PUTRA | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' DR. JOSEPHAT SUWANTA SINARYA | PRESIDENT COMMISIONER | NO', ' HENDRA | COMMISSIONER | YES']",16,AEGS,Anugerah Spareparts Sejahtera Tbk.,,,,,,[''],[''],[''],MAURICE GANDA NAINGGOLAN & REKAN,0
AGAR,https://www.idx.co.id/en/listed-companies/company-profiles/AGAR,"['NAME | POSITION | AFFILIATED', ' AGNES KRISTINA | DIRECTOR | NO', ' INDRA WIDYADHARMA | PRESIDENT DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' FRANCIS DAYNE HARYONO | PRESIDENT COMMISIONER | NO', ' THELLY ROPE | COMMISSIONER | YES']",17,AGAR,Asia Sejahtera Mina Tbk.,Agnes Kristina,nes@asiamina.com,(021) 21192523,Director Name Position Affiliated Agnes Kristina DIRECTOR NoIndra Widyadharma PRESIDENT - DIRECTOR - No,Comissioners Name Position Independent Francis Dayne Haryono PRESIDENT COMMISIONER NoThelly Rope - COMMISSIONER - Yes,[''],"['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE AGNES KRISTINA - DIRECTOR - 0 - 0% ', ' FRANCIS DAYNE HARYONO - COMMISIONER - 0 - 0% ', ' THELLY ROPE - COMMISIONER - 0 - 0% ', ' PT INDO KREASI PRATAMA - MORE THAN 5% - 450,000,000 - 45% ', ' PT SINAR TERANG ASIA RAYA - MORE THAN 5% - 299,927,300 - 29.99% ', ' MASYARAKAT - MORE THAN 5% - 0 - 0% ', ' INDRA WIDYADHARMA - DIRECTOR - 0 - 0% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 0 - 0% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 0 - 0% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 250,072,700 - 25.01%']","['PT GIWANG CITRA LAUT | PENGELOHAN RUMPUT LAUT | 6,988,298,664 | 99.99']",,1
AGII,https://www.idx.co.id/en/listed-companies/company-profiles/AGII,"['NAME | POSITION | AFFILIATED', ' RACHMAT HARSONO, BSC., MBA | PRESIDENT DIRECTOR | NO', ' IMELDA MULYANI HARSONO, BA., MM., LL.M. | VICE PRESIDENT | NO', ' IR. SIGIT PURWANTO | DIRECTOR | NO', ' BUDI SUSANTO | DIRECTOR | NO', ' ANDY PURWOHARDONO | DIRECTOR | NO', ' NONI MULIANTI | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' HEYZER HARSONO | PRESIDENT COMMISIONER | NO', ' RASID HARSONO | VICE PRESIDENT COMMISIONER | NO', ' FERRYAWAN UTOMO, IR. M.M. | VICE PRESIDENT COMMISIONER | NO', ' MICHAEL W. P. SOERYADJAYA | COMMISSIONER | NO', ' SUTANTO | COMMISSIONER | YES', ' ROBIYANTO | COMMISSIONER | YES', ' ATIFF IBRAHIM GILL | COMMISSIONER | NO', ' HANS-GERD WIENANDS-ADELSBACH | COMMISSIONER | YES', ' NINI LIEMIJANTO | COMMISSIONER | NO']",18,AGII,Samator Indo Gas Tbk.,Imelda Mulyani Harsono,corsec@samator.com,021-83709111,MBA PRESIDENT - DIRECTOR - No | SIGIT PURWANTO DIRECTOR NoBUDI SUSANTO DIRECTOR NoANDY PURWOHARDONO DIRECTOR NoNONI MULIANTI - DIRECTOR - No,Comissioners Name Position Independent HEYZER HARSONO PRESIDENT COMMISIONER NoRASID HARSONO VICE - PRESIDENT COMMISIONER - No | VICE - PRESIDENT COMMISIONER - No | SOERYADJAYA COMMISSIONER NoSUTANTO COMMISSIONER YesROBIYANTO COMMISSIONER YesATIFF IBRAHIM GILL - COMMISSIONER - No | ADELSBACH COMMISSIONER YesNINI LIEMIJANTO - COMMISSIONER - No,"['ROBIYANTO - HEAD ', ' SUTANTO - MEMBER ', ' TJOKRO ALIWIDJAJA - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE PT SAMATOR - MORE THAN 5% - 1,080,693,020 - 35.24% ', ' PT SARATOGA INVESTAMA SEDAYA - MORE THAN 5% - 306,666,000 - 10% ', ' MATRIX COMPANY LIMITED - MORE THAN 5% - 986,967,780 - 32.18% ', ' PT ANEKA MEGA ENERGI - MORE THAN 5% - 459,999,000 - 15% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 0 - 0% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 0 - 0% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 232,334,200 - 7.58%']","['PT RUCI GAS | PRODUKSI DAN PERDAGANGAN GAS | 74,936 | 50', 'PT RUCI GAS | PRODUKSI DAN PERDAGANGAN GAS | 74,936 | 50', 'PT RUCI GAS | PRODUKSI DAN PERDAGANGAN GAS | 74,649 | 50', 'PT RUCI GAS | PRODUKSI DAN PERDAGANGAN GAS | 74,649 | 50', 'PT RUCI GAS | PRODUKSI DAN PERDAGANGAN GAS | 74,649 | 50', 'PT RUCI GAS | PRODUKSI DAN PERDAGANGAN GAS | 74,649 | 50', 'PT RUCI GAS | PRODUKSI DAN PERDAGANGAN GAS | 72,816 | 50', 'PT RUCI GAS | PRODUKSI DAN PERDAGANGAN GAS | 74,431 | 50', 'PT RUCI GAS | PRODUKSI DAN PERDAGANGAN GAS | 74,431 | 50', 'PT RUCI GAS | PRODUKSI DAN PERDAGANGAN GAS | 73,557 | 50']",,20
AGRO,https://www.idx.co.id/en/listed-companies/company-profiles/AGRO,"['NAME | POSITION | AFFILIATED', ' IDA BAGUS KETUT SUBAGIA | PRESIDENT DIRECTOR | NO', ' RUSTARTI SURI PERTIWI | DIRECTOR | NO', ' DANAR WIDYANTORO | DIRECTOR | NO', ' LUKMAN HAKIM | DIRECTOR | NO', ' KICKY ANDRIE DAVETRA | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' MUHAMAD SIDIK HERUWIBOWO | PRESIDENT COMMISIONER | NO', ' RETNO WAHYUNI WIJAYANTI | COMMISSIONER | YES', ' JOHANES KUNTJORO ADISARDJONO | COMMISSIONER | YES', ' NYIMAS DEWI RATIH KAMIL | COMMISSIONER | NO']",19,AGRO,Bank Raya Indonesia Tbk.,Ajeng Putri Hapsari,ajeng.putri@bankraya.co.id,021-79199980,Director Name Position Affiliated Ida Bagus Ketut Subagia PRESIDENT DIRECTOR NoRustarti Suri Pertiwi DIRECTOR NoDanar Widyantoro DIRECTOR NoLukman Hakim DIRECTOR NoKicky Andrie Davetra - DIRECTOR - No,Comissioners Name Position Independent Muhamad Sidik Heruwibowo PRESIDENT COMMISIONER NoRetno Wahyuni Wijayanti COMMISSIONER YesJohanes Kuntjoro Adisardjono COMMISSIONER YesNyimas Dewi Ratih Kamil - COMMISSIONER - No,"['JOHANES KUNTJORO ADISARDJONO - HEAD ', ' RETNO WAHYUNI WIJAYANTI - MEMBER ', ' SUS KIRANAWATI HANDAYANI - MEMBER ', ' GAFYUNEDI - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE PT. BANK RAKYAT INDONESIA (PERSERO) TBK - MORE THAN 5% - 21,487,162,037 - 86.8502% ', ' MUHAMAD SIDIK HERUWIBOWO - COMMISIONER - 8,900 - 0% ', ' RETNO WAHYUNI WIJAYANTI - COMMISIONER - 0 - 0% ', ' JOHANES KUNTJORO ADISARDJONO - COMMISIONER - 0 - 0% ', ' NYIMAS DEWI RATIH KAMIL - COMMISIONER - 0 - 0% ', ' IDA BAGUS KETUT SUBAGIA - DIRECTOR - 0 - 0% ', ' DANAR WIDYANTORO - DIRECTOR - 0 - 0% ', ' RUSTARTI SURI PERTIWI - DIRECTOR - 0 - 0% ', ' LUKMAN HAKIM - DIRECTOR - 100,000 - 0.0004% ', ' KICKY ANDRIE DAVETRA - DIRECTOR - 0 - 0% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 67,806,300 - 0.274% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 9,615,822 - 0.0394% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 3,175,801,235 - 12.836%']",[''],,0
AGRS,https://www.idx.co.id/en/listed-companies/company-profiles/AGRS,"['NAME | POSITION | AFFILIATED', ' ALEXANDER FRANS RORI | DIRECTOR | NO', ' EDWIN RUDIANTO | DIRECTOR | NO', ' OH IN TAEK | PRESIDENT DIRECTOR | NO', ' PARK JIN JE | DIRECTOR | NO', ' ANDREAS MIKHAEL SUMUAL * | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' TAUFIK HAKIM | PRESIDENT COMMISIONER | YES', ' DAMAL BAYU UTAMA | COMMISSIONER | YES', ' JONI SWASTANTO | COMMISSIONER | YES', ' KO DAE JIN | COMMISSIONER | NO']",20,AGRS,Bank IBK Indonesia Tbk.,,,,,,[''],[''],"['PT BANK IBK INDONESIA | PERBANKAN | 22,509,984 | 100']",,1
AHAP,https://www.idx.co.id/en/listed-companies/company-profiles/AHAP,"['NAME | POSITION | AFFILIATED', ' YULIANTO PIETTOJO | PRESIDENT DIRECTOR | NO', ' JOSEF GUNAWAN SETYO | DIRECTOR | NO', ' INDRADI PRASODJO | DIRECTOR | NO', ' TREESJE HALIM | DIRECTOR | NO', ' SUTJIANTA | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' ADHI INDRAWAN | PRESIDENT COMMISIONER | NO', ' PRAMONO MARGONO | COMMISSIONER | YES', ' ADI PURNOMO WIJAYA | COMMISSIONER | YES']",21,AHAP,Asuransi Harta Aman Pratama Tbk.,Sutjianta,harta@asuransi-harta.co.id,634-8760,Director Name Position Affiliated Yulianto Piettojo PRESIDENT DIRECTOR NoJosef Gunawan Setyo DIRECTOR NoIndradi Prasodjo DIRECTOR NoTreesje Halim DIRECTOR NoSutjianta - DIRECTOR - No,Comissioners Name Position Independent Adhi Indrawan PRESIDENT COMMISIONER NoPramono Margono COMMISSIONER YesAdi Purnomo Wijaya - COMMISSIONER - Yes,"['PRAMONO MARGONO - HEAD ', ' SENTOT MARGIANTO - MEMBER ', ' DIAN YUNITA - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE INDRADI PRASODJO - DIRECTOR - 0 - 0% ', ' JOSEF GUNAWAN SETYO - DIRECTOR - 0 - 0% ', ' TREESJE HALIM - DIRECTOR - 0 - 0% ', ' SUTJIANTA - DIRECTOR - 0 - 0% ', ' ADHI INDRAWAN - COMMISIONER - 0 - 0% ', ' PRAMONO MARGONO - COMMISIONER - 0 - 0% ', ' ADIE POERNOMO WIDJAYA - COMMISIONER - 0 - 0% ', ' PT ASURANSI CENTRAL ASIA - MORE THAN 5% - 3,066,343,009 - 62.578% ', ' SENDRA GUNAWAN - MORE THAN 5% - 615,262,866 - 12.556% ', ' MASYARAKAT - MORE THAN 5% - 0 - 0% ', ' YULIANTO PIETTOJO - DIRECTOR - 0 - 0% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 0 - 0% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 4,340,858 - 0.089% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 1,214,053,267 - 24.777%']",[''],,0
AIMS,https://www.idx.co.id/en/listed-companies/company-profiles/AIMS,"['NAME | POSITION | AFFILIATED', ' CALVIN LUTVI | PRESIDENT DIRECTOR | NO', ' PANDU ANDAKARA | DIRECTOR | NO', ' M. ADIL TRIANSYAH | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' MOHAMMAD RAFIL PERDANA | PRESIDENT COMMISIONER | NO', ' AHMAD ALI FAHMI | COMMISSIONER | YES', ' ENDRU ADHIKARA | COMMISSIONER | NO']",22,AIMS,Artha Mahiya Investama Tbk.,Anton Hidayat SE,aims.indoinvest@gmail.com,021 7221279,Director Name Position Affiliated Calvin Lutvi PRESIDENT DIRECTOR NoPandu Andakara - DIRECTOR - No | Adil Triansyah - DIRECTOR - No,Comissioners Name Position Independent Mohammad Rafil Perdana PRESIDENT COMMISIONER NoAhmad Ali Fahmi COMMISSIONER YesEndru Adhikara - COMMISSIONER - No,"['AHMAD ALI FAHMY,S.H - HEAD ', ' LEVITA ELVI YANA S.TR.KEU - MEMBER ', ' PRIYANDANA - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE PT. AIMS INDO INVESTAMA - MORE THAN 5% - 68,556,991 - 31.16% ', ' PT. DELTA WIBAWA BERSAMA - MORE THAN 5% - 68,493,151 - 31.13% ', ' EFENDI LEMAN - MORE THAN 5% - 11,155,000 - 5.08% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 0 - 0% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 0 - 0% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 71,794,858 - 32.63%']",[''],,0
AISA,https://www.idx.co.id/en/listed-companies/company-profiles/AISA,"['NAME | POSITION | AFFILIATED', ' GERRY MUSTIKA | PRESIDENT DIRECTOR | NO', ' SUKAWATI WIJAYA | DIRECTOR | NO', ' FARRY ONGKO WIDJAJA | DIRECTOR | NO']","['NAME | POSITION | INDEPENDENT', ' KOMJEN (PURN) DR. DRS. H. ITO SUMARDI D.S., S.H., M.H., M.M., M.B.A. | COMMISSIONER | YES', ' LIM AUN SENG | PRESIDENT COMMISIONER | NO', ' HERWAN NG | VICE PRESIDENT COMMISIONER | YES']",23,AISA,FKS Food Sejahtera Tbk.,Gerry Mustika,corporate.secretary@fksfs.co.id,021-5088 9898,Director Name Position Affiliated Gerry Mustika PRESIDENT DIRECTOR NoSukawati Wijaya DIRECTOR NoFarry Ongko Widjaja - DIRECTOR - No,COMMISSIONER YesLim Aun Seng PRESIDENT COMMISIONER NoHerwan Ng VICE - PRESIDENT COMMISIONER - Yes,"['HERWAN, NG - HEAD ', ' NANCY NATALEO - MEMBER ', ' DR. ITO SUMARDI DS, S.H., M.H., MBA., M.M. - MEMBER']","['SHAREHOLDERS NAME TYPE SUMMARY PERCENTAGE - - DIRECTOR - 0 - 0% ', ' EDY KUSUMA - MORE THAN 5% - 20,864,800 - 0.2241% ', ' YOSAN KUSUMA - MORE THAN 5% - 3,950,000 - 0.0424% ', ' YOVIE KUSUMA - MORE THAN 5% - 4,714,000 - 0.0506% ', ' PT ASTA ASKARA SENTOSA - MORE THAN 5% - 1,441,374,472 - 15.479% ', ' PT PANGAN SEJAHTERA INVESTAMA - MORE THAN 5% - 5,438,227,100 - 58.4015% ', ' PENGENDALI - SAHAM SAHAM PENGENDALI - 0 - 0% ', ' NON PENGENDALI - SAHAM SAHAM NON PENGENDALI - 0 - 0% ', ' SAHAM TREASURY - TREASURY STOCK - 0 - 0% ', ' MASYARAKAT WARKAT - MASYARAKAT WARKAT - 0 - 0% ', ' MASYARAKAT NON WARKAT - MASYARAKAT NON WARKAT - 2,402,669,628 - 25.8024%']",[''],,0
